Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color,DateTime_out,Outcome Type,Outcome Subtype,shelter_time
744090,Marley,2017-02-23 08:15:00,02/23/2017 08:15:00 AM,45Th & Duval in Austin (TX),Stray,Injured,Bird,Intact Male,1 year,Parakeet Mix,Green/Black,2017-03-30 07:43:00,Adoption,Foster,34 days 23:28:00
727626,,2016-05-23 20:04:00,05/23/2016 08:04:00 PM,2906 Martin Luther King Jr in Austin (TX),Stray,Normal,Bird,Intact Female,1 year,Chicken Mix,Brown/Red,2016-06-06 11:55:00,Adoption,,13 days 15:51:00
720738,Rooster 22,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Chocolate,2016-03-08 19:57:00,Adoption,,23 days 03:55:00
720717,Rooster 1,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Cream,2016-03-08 14:15:00,Adoption,,22 days 22:13:00
750283,,2017-05-25 11:23:00,05/25/2017 11:23:00 AM,205 Natali in Austin (TX),Stray,Normal,Bird,Unknown,4 weeks,Chicken Mix,Gray,2017-05-29 14:20:00,Adoption,,4 days 02:57:00
727058,,2016-05-17 15:32:00,05/17/2016 03:32:00 PM,13208 Lipton Loop in Del Valle (TX),Stray,Normal,Bird,Unknown,1 year,Parakeet Mix,Green/Blue,2016-05-21 11:47:00,Adoption,,3 days 20:15:00
779664,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken,Red/Black,2018-09-21 17:31:00,Adoption,,17 days 04:29:00
672939,,2014-02-18 14:42:00,02/18/2014 02:42:00 PM,Circle Drive in Austin (TX),Stray,Normal,Bird,Intact Male,1 year,Chicken,Red/Black,2014-03-03 12:16:00,Adoption,,12 days 21:34:00
785008,,2018-11-24 18:41:00,11/24/2018 06:41:00 PM,440 East Saintt Elmo Road in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Parakeet Mix,Blue,2018-11-30 15:19:00,Adoption,,5 days 20:38:00
740019,Greeki,2016-12-10 12:27:00,12/10/2016 12:27:00 PM,1145 Gunter St in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Cockatiel Mix,Gray/White,2016-12-12 17:35:00,Adoption,,2 days 05:08:00
666232,,2013-10-29 11:09:00,10/29/2013 11:09:00 AM,4808 Creek Bend Dr in Austin (TX),Stray,Injured,Bird,Unknown,1 year,Pigeon Mix,Gray,2013-11-03 19:02:00,Adoption,,5 days 07:53:00
752206,,2017-06-19 16:22:00,06/19/2017 04:22:00 PM,2700 W Anderson Ln in Austin (TX),Stray,Normal,Bird,Unknown,2 weeks,Duck Mix,Yellow,2017-06-23 15:36:00,Adoption,,3 days 23:14:00
724341,,2016-04-16 07:56:00,04/16/2016 07:56:00 AM,5706 Nancy Drive in Austin (TX),Stray,Injured,Bird,Intact Male,2 years,Chicken Mix,Black/Red,2016-05-04 14:44:00,Adoption,,18 days 06:48:00
720727,Rooster 11,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Red,2016-03-08 13:47:00,Adoption,,22 days 21:45:00
714136,,2015-10-18 13:55:00,10/18/2015 01:55:00 PM,5300 S Mopac in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Cockatiel Mix,Green/Yellow,2015-10-22 11:35:00,Adoption,,3 days 21:40:00
761210,,2017-10-31 15:49:00,10/31/2017 03:49:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Intact Male,7 months,Chicken Mix,White,2017-11-04 18:37:00,Adoption,,4 days 02:48:00
720737,Rooster 21,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Red/Black,2016-03-08 15:19:00,Adoption,,22 days 23:17:00
779691,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Female,1 year,Chicken,Brown,2018-09-23 17:06:00,Adoption,,19 days 04:04:00
796316,,2019-05-31 12:27:00,05/31/2019 12:27:00 PM,1833 Cheddar Loop in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Parakeet,Yellow,2019-06-05 10:53:00,Adoption,,4 days 22:26:00
695478,,2015-01-16 13:23:00,01/16/2015 01:23:00 PM,3205 Dolphin Dr in Austin (TX),Stray,Normal,Bird,Intact Male,2 years,Guinea Mix,Brown/White,2015-01-26 10:54:00,Adoption,,9 days 21:31:00
714243,,2015-10-20 11:15:00,10/20/2015 11:15:00 AM,1904 Cannonwood Ln in Austin (TX),Stray,Injured,Bird,Unknown,6 months,Chicken Mix,White,2015-11-10 10:47:00,Adoption,,20 days 23:32:00
686687,,2014-08-25 13:29:00,08/25/2014 01:29:00 PM,Georgian And Pernell in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Cockatiel,Gray/White,2014-08-29 18:25:00,Adoption,,4 days 04:56:00
756420,,2017-08-19 13:03:00,08/19/2017 01:03:00 PM,10963 Sprinkle Road in Austin (TX),Stray,Normal,Bird,Unknown,1 month,Parakeet Mix,Green/White,2017-08-23 17:26:00,Adoption,,4 days 04:23:00
786714,Henrietta,2018-12-31 09:26:00,12/31/2018 09:26:00 AM,5Th And Red River in Austin (TX),Public Assist,Normal,Bird,Intact Female,2 years,Chicken,Black/Gold,2019-01-22 11:14:00,Adoption,,22 days 01:48:00
750211,,2017-05-24 13:13:00,05/24/2017 01:13:00 PM,2301 Scarbrough in Austin (TX),Stray,Normal,Bird,Intact Male,1 year,Peafowl Mix,Blue/Green,2017-05-30 14:06:00,Adoption,,6 days 00:53:00
805691,,2019-09-30 18:04:00,09/30/2019 06:04:00 PM,Chesterfield Avenue And Nelray Boulevard in Austin (TX),Stray,Normal,Bird,Unknown,6 months,Parakeet,Blue/Black,2019-10-17 12:01:00,Adoption,Foster,16 days 17:57:00
769761,,2018-04-09 18:49:00,04/09/2018 06:49:00 PM,Austin (TX),Stray,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/White,2018-04-25 12:45:00,Adoption,,15 days 17:56:00
779685,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken,Red/Black,2018-09-21 17:31:00,Adoption,,17 days 04:29:00
732266,Tucker,2016-08-04 18:58:00,08/04/2016 06:58:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Intact Male,8 years,Duck Mix,Black,2016-08-06 12:23:00,Adoption,,1 days 17:25:00
722606,,2016-03-19 13:07:00,03/19/2016 01:07:00 PM,Old Lockhart Rd in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Red,2016-05-03 14:24:00,Adoption,,45 days 01:17:00
779692,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Female,1 year,Chicken,White/Brown,2018-09-23 10:32:00,Adoption,,18 days 21:30:00
