Animal ID,Name_in,DateTime_in,MonthYear_in,Found Location,Intake Type,Intake Condition,Animal Type_in,Sex upon Intake,Age upon Intake,Breed_in,Color_in,Name_out,DateTime_out,MonthYear_out,Date of Birth,Outcome Type,Outcome Subtype,Animal Type_out,Sex upon Outcome,Age upon Outcome,Breed_out,Color_out,shelter_time
A778971,,2018-08-23 13:46:00,08/23/2018 01:46:00 PM,4509 E St Elmo in Austin (TX),Stray,Normal,Livestock,Intact Female,4 months,Pig Mix,Gray/Black,,2019-04-02 11:35:00,04/02/2019 11:35:00 AM,04/23/2018,Adoption,Foster,Livestock,Intact Female,11 months,Pig Mix,Gray/Black,221 days 21:49:00
A674214,,2014-03-09 16:45:00,03/09/2014 04:45:00 PM,Davis Ln  & Brodie Ln in Austin (TX),Stray,Normal,Livestock,Unknown,2 weeks,Pig Mix,Black,,2014-03-29 14:00:00,03/29/2014 02:00:00 PM,02/22/2014,Adoption,Foster,Livestock,Unknown,5 weeks,Pig Mix,Black,19 days 21:15:00
A778432,,2018-08-14 16:32:00,08/14/2018 04:32:00 PM,600 West William Cannon Drive in Austin (TX),Stray,Normal,Livestock,Intact Female,3 months,Pig Mix,White/Black,,2019-04-02 11:35:00,04/02/2019 11:35:00 AM,05/14/2018,Adoption,Foster,Livestock,Intact Female,10 months,Pig Mix,White/Black,230 days 19:03:00
A811675,,2020-01-07 15:56:00,01/07/2020 03:56:00 PM,1012 Arthur Stiles Rd in Austin (TX),Stray,Normal,Livestock,Intact Female,2 years,Goat,Black/White,,2020-07-22 11:46:00,07/22/2020 11:46:00 AM,01/07/2018,Adoption,Foster,Livestock,Intact Female,2 years,Goat,Black/White,196 days 19:50:00
A808934,,2019-11-16 13:10:00,11/16/2019 01:10:00 PM,East Martin Luther King Boulevard And Greenwood Avenue in Austin (TX),Stray,Normal,Livestock,Unknown,3 months,Pig,Pink,,2020-08-21 13:25:00,08/21/2020 01:25:00 PM,08/16/2019,Adoption,Foster,Livestock,Unknown,1 year,Pig,Pink,279 days 00:15:00
A769204,,2018-04-01 12:18:00,04/01/2018 12:18:00 PM,504 Wolverton Drive in Austin (TX),Stray,Normal,Livestock,Intact Male,5 months,Sheep Mix,Black/White,,2019-03-26 10:32:00,03/26/2019 10:32:00 AM,10/01/2017,Adoption,Foster,Livestock,Intact Male,1 year,Sheep Mix,Black/White,358 days 22:14:00
A673651,,2014-02-28 11:06:00,02/28/2014 11:06:00 AM,6507 Eudora Cove in Austin (TX),Stray,Normal,Livestock,Neutered Male,1 year,Pig Mix,Black/White,,2014-03-11 14:39:00,03/11/2014 02:39:00 PM,02/28/2013,Adoption,Foster,Livestock,Neutered Male,1 year,Pig Mix,Black/White,11 days 03:33:00
A764822,,2018-01-06 17:34:00,01/06/2018 05:34:00 PM,Pearce Lane And Ross Road in Del Valle (TX),Stray,Normal,Livestock,Intact Female,2 years,Potbelly Pig Mix,White,,2018-02-12 16:51:00,02/12/2018 04:51:00 PM,01/06/2016,Adoption,,Livestock,Intact Female,2 years,Potbelly Pig Mix,White,36 days 23:17:00
